Run,Duration (ms),Public Keys
1,1106.00,20000
2,1146.00,20000
3,1135.00,20000
4,1111.00,20000
5,1097.00,20000
6,1116.00,20000
7,1123.00,20000
8,1077.00,20000
9,1115.00,20000
10,1144.00,20000
Average,1117.50,20000
