Run,Duration (ms),Public Keys
1,2199.00,40000
2,2276.00,40000
3,2277.00,40000
4,2243.00,40000
5,2205.00,40000
6,2175.00,40000
7,2223.00,40000
8,2205.00,40000
9,2225.00,40000
10,2210.00,40000
Average,2224.20,40000
