Run,Duration (ms),Public Keys
1,562.00,10000
2,571.00,10000
3,552.00,10000
4,539.00,10000
5,584.00,10000
6,561.00,10000
7,556.00,10000
8,560.00,10000
9,567.00,10000
10,558.00,10000
Average,561.60,10000
