Run,Duration (ms),Public Keys
1,4544.00,80000
2,4367.00,80000
3,4381.00,80000
4,4473.00,80000
5,4358.00,80000
6,4382.00,80000
7,4411.00,80000
8,4519.00,80000
9,4414.00,80000
10,4386.00,80000
Average,4424.00,80000
